symbol,Group
MUC13,Classical
GPR35,Classical
USH1C,Classical
BAIAP2L2,Classical
GAL3ST1,Classical
VIL1,Classical
DDC,Classical
LGALS4,Classical
TSPAN8,Classical
SLC5A1,Classical
SEMA4G,Classical
TNFRSF11A,Classical
HSD17B2,Classical
CKMT1A,Classical
DPCR1,Classical
GCNT3,Classical
SLC6A20,Classical
POF1B,Classical
NR1I2,Classical
MUC17,Classical
HHLA2,Classical
BTNL8,Classical
HEPH,Classical
PDZD3,Classical
MYO1A,Classical
CDH17,Classical
MYO7B,Classical
GPA33,Classical
CALML4,Classical
ANXA13,Classical
TM4SF20,Classical
SI,Classical
SLC44A4,Classical
FAM83E,Classical
SLC40A1,Classical
CTSE,Classical
BACE2,Classical
SULT1C2,Classical
AGR3,Classical
ATP7B,Classical
LYZ,Classical
TESC,Classical
TOX3,Classical
SH3BGRL2,Classical
GMDS,Classical
GATA6,Classical
GPX2,Classical
CA2,Classical
ST6GALNAC1,Classical
FOXA3,Classical
AKR1C3,Classical
TMC5,Classical
CYP2S1,Classical
PAQR8,Classical
HKDC1,Classical
IYD,Classical
DOK4,Classical
CYP2C18,Classical
KCNE3,Classical
FZD5,Classical
RASEF,Classical
GKN1,Classical
ANO1,Basal-like
ADORA2B,Basal-like
S100A2,Basal-like
CSF2,Basal-like
ANXA1,Basal-like
EREG,Basal-like
RGS20,Basal-like
CELSR1,Basal-like
WNT7B,Basal-like
AMIGO2,Basal-like
PTHLH,Basal-like
C12orf54,Basal-like
TGM2,Basal-like
REEP3,Basal-like
DCBLD2,Basal-like
NMB,Basal-like
IKZF2,Basal-like
GPR87,Basal-like
MUC16,Basal-like
IVL,Basal-like
SPRR1B,Basal-like
BCAR3,Basal-like
TTC9,Basal-like
PTGES,Basal-like
CST6,Basal-like
CATSPER1,Basal-like